,Celltype1,Celltype2,Celltype3,Celltype4,Celltype5,Celltype6,Celltype7,Celltype8,Celltype9,Celltype10
hsa03013,0.0787772679236936,0.363415408817141,0.982677275123622,0.999998453766807,0.778138436063354,0.723154086558549,0.996737764120764,0.526119613451988,0.732293815440973,0.194371375698776
hsa03018,0.999132519166783,0.509758706269903,1,0.999769927056428,0.99872941681315,0.980217728367643,0.992890481810606,0.9892607303715,0.999999999970851,0.997351754833806
hsa03040,0.958886516857326,0.743024039544457,0.999999999999839,0.99964624996958,0.997964053864323,0.8962019089448,0.527999583748053,0.747463771479228,0.999997345180948,0.558829786708511
hsa03050,0.150924082426943,0.000278878873848354,0.928558556939642,0.819350393349202,0.00151941522351167,0.00622640024003729,0.795573310444099,0.533638238448401,0.00046679658658545,0.106343680453282
hsa03320,0.184279710685253,0.0550235769982574,0.346892028153325,0.687722419979756,0.264765703539409,0.302749678209009,0.0240860531713677,0.000735887959169097,4.4375848046217e-06,0.409978142867414
hsa04010,0.999996808106139,0.974252142331513,0.302796494550579,0.999999587785207,0.996839770862671,0.388397900171564,0.995795836742864,0.919407731002682,0.908542940966223,0.99976062498546
hsa04012,0.0159656561772173,0.999840356597466,0.0707634727179489,0.594849766076936,0.895099511304045,0.398105360557969,0.806013763831987,0.426035288296815,0.489104294162121,0.16599745673524
hsa04014,0.000619146643210206,0.0381025338480745,6.51281420633132e-42,2.02304131258103e-22,3.04740082935374e-14,0.0188692246381791,9.22308452840216e-13,0.000110810244198287,9.1118989563497e-06,4.08296734100734e-07
hsa04015,0.865493747988986,2.1264036809707e-05,8.62882325726635e-56,7.99844070569479e-26,4.57809963277785e-15,0.0122702763074184,1.63322801001967e-14,8.46031601316076e-05,1.1939949137105e-07,0.00237697519185724
hsa04020,0.609251931009518,4.4618091621365e-05,4.91436934404403e-44,8.51442813816373e-15,4.67942075464715e-12,0.0131628006966199,1.82205859571777e-10,1.68554017447655e-06,0.00144054734247571,0.00116964961246834
hsa04022,0.0363238033537289,1.49894284717567e-08,5.32310341023533e-66,1.52400866193675e-23,5.72530852224184e-18,0.0148235913730642,1.90861530280431e-12,4.07866462559423e-07,0.00149460692592402,0.00041234898996604
hsa04024,0.80677034906783,0.00180584762482041,9.88955835336493e-43,7.07467557214909e-19,4.14649827738029e-09,0.0482416106146192,4.38464831744736e-10,0.000656892760244388,0.00047153083138092,4.22251616662791e-05
hsa04060,0.0153796447896593,0.761887866766912,0.980502992825869,0.991585774201217,0.667702565404867,0.896900492669471,0.878380276014705,0.589709032280834,0.757393358158736,0.975726216289379
hsa04062,0.999999997111886,0.0504964374636642,4.61883859627927e-07,0.999081909977239,0.150803181315215,0.671016407847391,0.997770201770981,0.131599284207419,0.820534309580979,0.994452321786811
hsa04064,0.998758482326935,0.999640052581766,1,0.999999999963713,0.992088767287672,0.97797454997802,0.999997642408149,0.998699574413635,0.983202910316383,0.994569561958583
hsa04066,0.999999935686169,0.0117754511730004,3.55727476796684e-08,0.999922068787018,0.00278591620196621,0.951367892919368,0.915142950631784,0.00767100758035929,0.896040841740489,0.999985904838977
hsa04068,1,0.999999999990331,1,0.999999999999999,0.999999999999995,0.825844533033766,0.99999186807348,0.999638267520332,0.927975148213828,0.99999999997771
hsa04070,0.00157163597324928,0.0718758104367515,6.62866822556666e-27,4.21883897222337e-15,7.7465906414888e-11,0.015265908383547,4.43636352436831e-12,0.00136668023961089,1.00000831426778e-05,1.00311348312382e-07
hsa04071,0.237703305373949,0.000926654123008682,9.80653029891191e-18,0.0481083227824633,0.000136429578696423,0.398105360557969,0.0902633887512865,0.0695410847474966,0.195168630714564,0.751847852782089
hsa04072,0.99999999999974,0.47736969350837,0.0777088231914143,0.993030648545484,0.227650480807415,0.398105360557969,0.626609908699359,0.215498104626773,0.813037812906505,0.999918691700929
hsa04110,3.13014158688131e-06,0.014802734917806,0.000876974949325424,0.00753161126088747,0.0422648189959732,0.687693752682482,3.91690591135559e-05,0.021835787528484,1.99881680556195e-06,0.00010776822808634
hsa04114,0.00316053584284903,0.794179177393366,3.94141665503425e-52,0.0934860585142276,0.676842258238854,0.580778279105393,0.00187739363783506,1.48914483688857e-10,0.33001789011199,0.0203208406661016
hsa04120,0.0160651628123449,0.0193346901471698,0.000257485323333018,0.170215695209348,0.031903246676058,0.176661834696823,0.229020774746965,0.202820937664346,0.212225006472985,0.08447941530678
hsa04137,0.999999980120943,0.85087756374886,0.999999995312083,0.999994373603618,0.997671964800353,0.883035649404668,0.999995994987078,0.998616281176002,0.96066988389235,0.990597941694342
hsa04140,0.999880468969995,0.991876795155289,0.754037975698425,0.997740206428058,0.998218689250413,0.776722325359214,0.999782411945644,0.9614489157376,0.888720302445817,0.981833670405314
hsa04141,0.999958460474094,0.997282694039397,1,0.999999999991246,0.999999878904417,0.948971572501822,0.992845593108191,0.980061891758756,0.999999999962982,0.966524521697915
hsa04142,0.901757810441603,0.998863824106848,0.996771715837817,1,0.999833286759129,0.16970127262782,0.999999506718646,0.799659962439606,0.966241220606264,0.863671253439227
hsa04144,1,0.999999999813243,1,1,1,0.999866140451024,0.999999999999892,0.999668535180714,0.999999963737184,0.999999846551424
hsa04145,0.977314724561512,0.999993681986814,1,0.754790979453856,1,0.990552321915693,0.999057106095468,0.999785562310294,0.999457346621176,0.976008481988397
hsa04150,1,0.999998997126274,0.999999999999335,1,1,0.999988372293208,0.999999361555507,0.998453973692687,0.999999988838288,0.999999998439402
hsa04152,1,0.999993333649837,1,0.999998956442954,0.999999778036088,0.513940871599892,0.999997564625335,0.999999999065775,0.999999997264902,0.999999886879343
hsa04210,0.0059174745716986,0.99030038885917,9.22102876770718e-54,0.999938481078297,0.6150027663335,0.287341191568859,0.994145432267515,0.00390912450927978,0.416082462106001,0.0197181916448667
hsa04211,0.936694561152171,0.00198291113784257,0.999978415934605,0.955098459324511,0.00305952980939775,0.398105360557969,0.34210484527165,0.484421511875347,0.00871908589131822,0.943460276835408
