,gene_heritability_correlation
RP1-317E23.3,0.059625665426511
MTFR1L,-0.0206728716340302
AUNIP,0
RP1-125I3.2,0
PAQR7,-0.00313292216308513
STMN1,0.0942268676025376
PAFAH2,-0.00769714533439662
SLC30A2,0
TRIM63,0
PDIK1L,-0.0460778166762537
FAM110D,-0.00120041026472126
RP11-96L14.7,0
ZNF593,-0.0247022811839647
CNKSR1,-0.0225073277422953
CEP85,0.0492192074860516
SH3BGRL3,0.337365841504306
UBXN11,-0.00168048836148455
CD52,0.174420897244964
AIM1L,0
ZNF683,-0.00863783798683839
DHDDS,-0.0167468004474285
HMGN2,0.214395166632983
RPS6KA1,-0.00335005286276389
RP5-968P14.2,0
ARID1A,0.0466490125308992
PIGV,-0.022709897039026
ZDHHC18,-0.00584849537583795
SFN,-0.0324750058721184
GPN2,-0.0462310268305777
GPATCH3,0.0300700738443962
NUDC,-0.0834891464603835
NR0B2,-0.103623077908127
KDF1,-0.0371050155004988
TRNP1,0.0574848592193211
FAM46B,-0.00581158982015367
SLC9A1,0.0574180171732984
WDTC1,-0.0143421613577211
TMEM222,0.0368175446062239
SYTL1,-0.00826869872933436
MAP3K6,0.0223142608133224
FCN3,-0.0989851588121035
CD164L2,0.00570237596503073
WASF2,0.107129102594422
RP1-159A19.4,0
AHDC1,-0.0382684865258419
FGR,0.104273494831716
RP11-288L9.1,0.0260718129154329
IFI6,-0.00371217999020268
FAM76A,-0.0115752798273341
STX12,0.00728501543851936
PPP1R8,-0.00487949570657721
THEMIS2,0.179236167485053
RPA2,0.0412938172021407
SMPDL3B,-0.0147589195621995
XKR8,-0.0373486353540173
EYA3,0.0293727473238285
PTAFR,0.16018338223451
DNAJC8,0.0076855773985251
ATPIF1,0.0163996724635593
RP5-1092A3.4,0.0394354540783368
RP5-1092A3.5,0.0196131448481344
SESN2,-0.02250230458338
MED18,0.0654818585284263
PHACTR4,-0.0920431567201648
RCC1,0.0291229120341117
TRNAU1AP,0.0479153057715873
SNHG12,0.0633257157108148
TAF12,0.0804359333209555
RAB42,0.0888159158383024
RP11-442N24--B.1,0.00752057677234055
RNU11,-0.0340619891527472
GMEB1,-0.00818161780054708
YTHDF2,-0.0272339863816273
EPB41,-0.0214532690623395
TMEM200B,0.0268512010564567
SRSF4,-0.0293186166280286
MECR,-0.025497217620709
PTPRU,-0.0382193160193747
MATN1,0.020146236324776
MATN1-AS1,0.00161031591658873
LAPTM5,0.287119008896163
RP5-1125N11.2,0
SDC3,0.0294757886002001
PUM1,-0.0110834012448459
SNRNP40,0.0395748578325462
ZCCHC17,-0.00613044172829485
FABP3,0.0625234340339463
SERINC2,-0.0939568727919342
TINAGL1,-0.0748661941151338
PEF1,0.00458134975071717
RP11-73M7.6,0
RP11-73M7.9,0
COL16A1,0.0193001946939831
ADGRB2,0
SPOCD1,0
RP11-84A19.2,0.108980227559679
RP11-84A19.4,-0.0257664567342025
PTP4A2,0.0721954394304044
KHDRBS1,-0.00440863228839202
RP11-277A4.4,0.0478696689186535
TMEM39B,0.00751988241824843
KPNA6,-0.0014154033304975
TXLNA,-0.0246039983896813
CCDC28B,0.00621446245576582
RP4-622L5.7,0
IQCC,-0.0266661734517618
TMEM234,-0.0141527019438721
EIF3I,0.0774638760496415
FAM167B,-0.09004450853392
LCK,0.0519050615389612
HDAC1,0.0780770697126948
MARCKSL1,-0.0617372965256614
TSSK3,0.00263507844085762
FAM229A,-0.014323574226753
BSDC1,-0.0544014067435919
ZBTB8B,0
ZBTB8A,-0.0293420372743347
ZBTB8OS,0.0272801728048249
RBBP4,0.0795790239148629
SYNC,0.0281021701647805
KIAA1522,-0.0377830898837507
YARS,-0.0245694998593084
S100PBP,-0.0466840742394648
FNDC5,-0.0212061297648573
TMEM54,0.00512992912100647
RNF19B,0.0171269098151665
AK2,0.0143891016053691
AZIN2,0.0346045636009183
TRIM62,0.0136618395200769
ZNF362,0.0466016748745374
RP11-415J8.3,0
PHC2,-0.00269005010135453
ZSCAN20,0.0319323914908752
SMIM12,0.0151414194552092
GJB3,0
GJA4,-0.0616970408682516
DLGAP3,-0.00865937154519614
RP11-244H3.4,0.0200959995598378
ZMYM6NB,0.0208294775248019
ZMYM6,-0.000604735396079006
ZMYM1,-0.0175642572525207
SFPQ,0.0228943913217334
ZMYM4,0.0553796590567917
KIAA0319L,-0.06019267586206
NCDN,-0.0150625180007206
RP4-728D4.2,0.0575002843380043
TFAP2E,0.0687494303476294
PSMB2,0.0165418844817223
C1orf216,-0.00980381510810162
CLSPN,0.0193547255281425
AGO4,0.0163883609633703
AGO1,-0.00236578798673931
RP4-789D17.5,0
AGO3,-0.0384653768994806
ADPRHL2,0.0450224276556458
COL8A2,0
TRAPPC3,0.0808971575671022
MAP7D1,0.0856507800620787
THRAP3,-0.0215157093902832
SH3D21,0.0430170445306193
EVA1B,0.0468064095216453
RP11-268J15.5,-0.0314395985744422
