,Celltype1,Celltype2,Celltype3,Celltype4,Celltype5
hsa04137,0.99999999271631,0.935156898534248,0.999999996722681,0.999949720015311,0.993452017395748
hsa04140,0.0412187694049864,0.0377128861326782,4.37220652517695e-34,0.00826730455912379,0.000666726336971176
hsa04141,0.999994333897695,0.99990744089703,1,0.999999999732877,0.999995155483903
hsa04142,0.88303593938776,0.999931277298809,0.991786398580639,0.999999999999997,0.999690953573641
hsa04144,0.999999999879752,0.999999991297891,1,1,0.999999999999992
hsa04145,0.976065181838436,0.999997629448609,1,0.737039452105287,1
hsa04150,0.806501736545803,3.07365989248625e-08,1.22699086435957e-21,1.65711934185806e-10,5.16463676774577e-13
hsa04152,0.999999999964056,0.528699375036443,1,0.996958113921709,0.692205050994924
hsa04210,0.24840975572959,0.99587759418442,4.6930952813394e-28,0.999998578628798,0.971766643775379
hsa04211,3.47973471218614e-05,0.225320406711793,6.13331290333858e-14,0.0522655932559195,0.0539055245136772
hsa04213,0.000736192844067993,0.318110140267848,6.09422127980119e-10,0.162706249726285,0.234143046828989
hsa04217,0.999911222173517,0.980579615956349,1,0.999999999999483,0.995047932484519
hsa04218,0.533239136450586,0.447564560191597,1.31287428229935e-21,0.0143924528337743,0.0863089194298626
hsa04260,3.10083427344204e-06,0.999999999170666,1,0.999999999999803,0.999999999998407
hsa04261,0.0400732958947835,0.022307345788666,0.425154752804483,0.198151944621129,0.00431143096555001
hsa04270,0.283438612018379,0.138593851534107,9.31986520393814e-18,0.0118784879296555,0.00396184474188616
hsa04310,0.558862032943643,0.37359674751247,0.995053333894965,0.735659630611946,0.600279590201066
hsa04350,0.872401183017611,0.718442884312038,0.999932152513874,0.982587822688416,0.642687217913028
hsa04360,0.964030987880692,0.585075320722096,0.985800655137122,0.609514559194561,0.280528609622739
hsa04370,0.549972081279703,0.545418209252381,4.5071968573255e-09,0.135305383696574,0.127315650900068
hsa04371,0.000383122092825318,0.164559952874499,6.36977552763044e-11,0.0235669731381033,0.00592494725929746
hsa04380,0.164149363098127,0.39987739991932,3.61328050354285e-10,0.0433864447189936,0.0230696380568277
hsa04390,1.14243405424732e-07,0.000611650098671953,1.62158756006115e-05,5.99582480651839e-05,0.000682631631793167
hsa04392,8.58389555758313e-05,0.156724452922364,0.236321668258148,0.38401662805804,0.138151993246693
hsa04510,0.491774637656114,0.169269206785671,1.76210264528612e-19,0.0675287029884018,0.0366215717862159
hsa04514,0.868644738687377,0.161829854713777,1,0.0463136163481235,0.123274119707395
hsa04520,0.994927722235719,0.0606092505909026,1,0.775183014791019,0.0797413207499051
hsa04530,0.0210795186603517,9.72280952553134e-15,0.641644320001282,7.97698811123118e-27,2.20376092201404e-24
hsa04540,0.00110284187674975,0.430097831404239,0.999999968638432,0.891003968614158,0.637611009989183
hsa04550,0.900761007898061,0.2887037197723,5.60130767197667e-05,0.6517241765112,0.64071607816843
hsa04611,3.36183751259507e-17,0.0120576464274169,0.0289682984352982,0.133325444935216,0.00139468387776057
hsa04612,2.55306241142933e-10,6.8787429238955e-07,0.0707463299012384,1.26453870957787e-34,1.84104574151304e-12
hsa04613,0.999607667507075,0.27191803843178,5.04399464960703e-37,0.00264365500071586,0.00167988963000771
hsa04620,0.64124047796406,0.265705570858961,8.87505352460643e-05,0.0725383289657056,0.0121863264687412
hsa04621,0.120499527478721,0.138104717527431,0.335940073193454,0.411162726637114,0.116198227632955
hsa04625,0.817119272576001,0.498232364306493,0.999497724135507,0.936598779045713,0.715392905585332
hsa04640,0.000557576648029954,0.123297511296617,0.544965592317041,8.19894782068757e-09,0.197126756277238
hsa04650,0.108187291081789,0.0367228305438108,7.01374014478494e-16,0.992045026978743,0.368626176646044
hsa04657,0.197379585719097,0.260644014380371,0.476169291697725,0.57205757708814,0.232758048150129
hsa04658,0.070328489066191,0.124203222320029,0.980876315022727,0.000579756811577485,0.0136141197625116
hsa04659,0.901738878625982,0.235759952695453,0.999999999999995,0.0192135029397419,0.915223455752415
hsa04660,0.2139153787053,0.0832521914106921,3.18254429243732e-15,0.0126398020006372,0.00021512039356379
hsa04666,0.99999999986341,0.999999999996584,0.00625105960976135,1,1
hsa04668,0.0116035779748369,0.00702891951421806,5.32034561773899e-14,0.000476124769524824,0.00322569475064783
hsa04672,0.0013084195535798,0.133994613910148,0.588629500303037,1.42512809883486e-07,0.216055601263113
hsa04710,0.00312904153794034,0.120385948369648,0.00980138683657039,0.0264018302022633,0.0591297317376485
hsa04713,0.00584795627871035,0.579453113417965,0.0549917691034262,0.0717644245449299,0.612459632622087
hsa04714,2.85608398446115e-08,0.999999974166762,1,0.999999999999979,0.999999999908153
hsa04722,0.160695110778263,0.267889964324108,3.81705343959304e-17,0.0733186100545623,0.359847795917925
hsa04723,0.00211505920931854,0.00794409573659188,2.06564208575504e-06,0.281180600180597,0.00205124714146046
hsa04724,0.157063283000436,0.260644014380371,4.88766534687205e-08,0.484838877771243,0.269211894958642
hsa04725,0.0690742284477634,0.139575656846474,1.6935190283681e-12,0.0277204294034222,0.0882232404740968
hsa04726,0.026412554727263,0.124885552775844,4.52443742516282e-12,0.0635764963000071,0.0310241361056797
hsa04727,0.157514285754846,0.260644014380371,4.56881916068373e-08,0.486522765857322,0.267224274684689
hsa04728,0.0499988558363911,0.16954889006019,0.217051223305429,0.307372115610689,0.0298815797640247
hsa04750,0.160923906672992,0.204617604642211,0.689903122073813,0.534778643532906,0.0296268345413525
hsa04810,1,0.999999999990447,7.50965998729134e-06,1,1
hsa04910,0.999999999209393,0.4283580791879,1,0.999993966098305,0.493082628738258
hsa04911,0.0784991094919701,0.179234193479632,0.544032663110619,0.393189867059168,0.0479908883334944
hsa04912,0.00653558402047455,0.0719990861016746,4.04297790283101e-21,0.00250347811171887,0.00665961643891026
hsa04913,0.999997224744295,0.209684352391167,1,0.557092851887069,0.30356549907112
hsa04914,0.0764592422505007,0.173211725739176,2.99584673613276e-23,0.0678972064735761,0.196082264438443
hsa04915,0.000523569710284597,0.061950710563656,2.26739894131896e-27,0.00504281262910144,0.0651250556332417
hsa04916,0.094735979090009,0.173495554437426,1.3641932992883e-14,0.0402433772476705,0.139319395876212
hsa04917,0.935298736195776,0.255632550353797,7.11741514120808e-10,0.367988906701246,0.627386487222259
hsa04918,0.0671033603507646,0.170109145527994,0.467554218640331,0.3738407630738,0.041860608636147
hsa04919,0.0145236770571027,0.181270603077135,1.20679373065721e-27,0.00146913995883166,0.0100942556455808
hsa04920,0.999643318539675,0.702916100758831,0.999999999999546,0.977281227457766,0.999746543417785
hsa04921,0.533239136450586,0.218073327750988,6.57050307663371e-18,0.00334842386296665,0.0202973873639725
hsa04922,0.70567392888341,0.460733593421171,0.999999999999176,0.889815882686367,0.527948740596356
hsa04923,6.67038790194676e-06,0.260644014380371,5.40988591317406e-20,0.0691992061937036,0.226809300982766
hsa04925,0.106112075061795,0.176924561178307,0.229414886917444,0.325914827960345,0.0415246612224677
hsa04926,0.326737366930311,0.226652557469471,1.0561799732767e-11,0.0230626019917209,0.0879822340620995
hsa04927,0.0687013315741182,0.179234193479632,0.236902356259493,0.340242445675232,0.0457031529859193
hsa04928,0.0316115476890591,0.10757613722128,3.18598161885194e-25,0.00170760225237894,0.0428816731606383
hsa04930,0.995182635214707,0.260644014380371,1,0.858002483947562,0.199647236377953
hsa04931,0.99999999999998,0.85919044974498,1,0.999999928716175,0.999981859529779
hsa04932,1.14067785865199e-05,0.99999999996158,1,0.99999999999994,0.999999995922479
hsa04933,0.0012646960580612,0.155134487319615,4.2678647162775e-05,0.0187892991866945,0.000771528360582437
hsa04934,0.54551739727595,0.505744636261226,9.98334369477339e-09,0.311590835203706,0.524647467262505
hsa04935,0.817615630876465,0.328452713546123,0.000156333619726148,0.477265159424268,0.762374574193113
hsa04940,0.000440064193087769,0.873971418309659,0.554094387927495,8.49718598146459e-08,0.405555712638792
hsa04970,0.0602098083960446,0.0318482537188527,0.778777746799035,8.30663751017451e-20,0.165949901155648
hsa04972,0.15193784831288,0.158592920866587,0.901475193288981,0.401878119866536,0.148900008202714
hsa04973,0.0231022784253665,0.260644014380371,0.0939479669483349,0.323129600889736,0.126687948670383
