,gene_heritability_correlation
DHDDS,0.0462039434249792
HMGN2,0.130635869337022
RPS6KA1,-0.0423092699976656
RP5-968P14.2,0
ARID1A,0.0299612385104046
PIGV,-0.0072180479831672
ZDHHC18,-0.017258390541881
SFN,0
GPN2,-0.0115664485678802
GPATCH3,0.0357200871174377
NUDC,-0.0250408888065496
NR0B2,-0.101452036685441
KDF1,0
TRNP1,0.0293187383327032
FAM46B,0
SLC9A1,-0.0436873627385724
WDTC1,-0.0255440758071636
TMEM222,0.0172991650602949
SYTL1,-0.0691235540085065
MAP3K6,0.0516936244535458
FCN3,-0.00686737038261723
CD164L2,0
WASF2,-0.046611104495401
RP1-159A19.4,0
AHDC1,-0.0570658927592736
FGR,-0.112765201225421
RP11-288L9.1,0
IFI6,0.00899698967332819
FAM76A,0.0975128384413968
STX12,-0.0297053546107952
PPP1R8,-0.0765121734006934
THEMIS2,-0.0537267660237931
RPA2,0.000451213828467456
SMPDL3B,0.00331302907045032
XKR8,0.0621618315950646
EYA3,-0.00931152718150583
PTAFR,0.00472133165102792
DNAJC8,0.0921617955561617
ATPIF1,0.180869201222461
RP5-1092A3.4,-0.0190612066388565
RP5-1092A3.5,0.00860597688166427
SESN2,-0.0596672570796307
MED18,-0.0486337035060598
PHACTR4,-0.000273947034782673
RCC1,0.148646398032995
TRNAU1AP,0.10496732415051
SNHG12,0.00800183938424436
TAF12,0.0192779100694538
RAB42,0.0694570159278445
RP11-442N24--B.1,0.0104659035080609
RNU11,-0.0292730470357429
GMEB1,-0.0504327178922002
YTHDF2,0.0467236226508396
EPB41,-0.0944297960673984
TMEM200B,0
SRSF4,-0.0198536928422778
MECR,0.00383262090899835
PTPRU,0
MATN1,0.0175656658836686
MATN1-AS1,0
LAPTM5,0.00546136739013253
RP5-1125N11.2,0
SDC3,-0.0878217851228695
PUM1,0.0648816043902898
SNRNP40,0.027685300862215
ZCCHC17,-0.0814564925472752
FABP3,0.00145870164272859
SERINC2,-0.0511861693277059
TINAGL1,0.0487431170266802
PEF1,-0.0539208250662304
RP11-73M7.6,0
RP11-73M7.9,0
COL16A1,-0.0314847609621914
ADGRB2,0
SPOCD1,0
RP11-84A19.2,0
RP11-84A19.4,0
PTP4A2,-0.0276324469674319
KHDRBS1,-0.0159299994036291
RP11-277A4.4,0.0166564013167671
TMEM39B,-0.0371075477245787
KPNA6,0.00421784817402049
TXLNA,-0.0644651792349051
CCDC28B,-0.0174966973792467
RP4-622L5.7,0
IQCC,0
TMEM234,-0.0165193759532061
EIF3I,0.0195285711516897
FAM167B,0.133137987602668
LCK,-0.0405514791733125
HDAC1,-0.020361639671454
MARCKSL1,0.0523241059279348
TSSK3,0
FAM229A,-0.050408644809616
BSDC1,-0.0658273798617419
ZBTB8B,0
ZBTB8A,0.122981344688069
ZBTB8OS,0.0346848434056142
