,Celltype6,Celltype7,Celltype8,Celltype9,Celltype10
hsa04110,0.590861581347954,6.55881875700716e-09,0.0106193408585047,7.47421299685362e-08,1.3047235286655e-06
hsa04114,0.971569135709113,0.220404797088392,0.000846257545758324,0.606440651063837,0.20832708816842
hsa04120,0.177882240810475,0.356191962633484,0.325790056296169,0.183442565320984,0.150804848391648
hsa04137,0.814538460825196,0.999985191150334,0.999157873673365,0.944958433888351,0.975322181571764
hsa04140,0.457773749974693,0.0360753355187041,0.025439749366156,0.0437997290029814,0.122954745142118
hsa04141,0.911821950065964,0.936196606510311,0.87308700325715,0.999999997976344,0.982564008425814
hsa04142,0.124408467161202,0.999996722692392,0.796332266322478,0.961307740318362,0.779287178569729
hsa04144,0.999107575803041,0.999999966374656,0.99928776936728,0.999785377817227,0.999810729518527
hsa04145,0.992078216916999,0.99892193676403,0.999624534494172,0.999167293070001,0.961890580602424
hsa04150,0.000176892830530237,1.09087976274513e-06,0.00928908825028837,0.130473972113958,0.78800091759291
hsa04152,0.300281211893682,0.796035366059975,0.996786658552807,0.981964827403146,0.999999265548176
hsa04210,0.42119693964867,0.999685104783967,0.0681833828491958,0.512823501075757,0.100412160564758
hsa04211,0.300281211893682,0.100275208126469,0.179072536716485,0.000742955156133458,1.22322690290959e-05
hsa04213,0.300281211893682,0.446678815514353,0.27882963123147,0.2107758293257,0.00036921543623321
hsa04217,0.983942287454826,0.999546526133673,0.962383003749253,0.957863767422571,0.999615303799179
hsa04218,0.300281211893682,0.392322950627903,0.187440599072672,0.887454164297122,0.041634728220436
hsa04260,0.557092284198257,0.999916359265288,0.999820213951129,0.999999999984191,0.000766665099881703
hsa04261,0.117738810825729,0.0857127809636902,0.199233915746709,0.000557183311035308,0.0116116013331268
hsa04270,0.300281211893682,0.316704924748831,0.159200155215834,0.119237475631433,0.621680085287475
hsa04310,0.400576831919739,0.586726141498128,0.696098062836874,0.3939716235164,0.641418582307192
hsa04350,0.402285474008718,0.788281887543021,0.8840698396714,0.775027960837314,0.82078699543409
hsa04360,0.45865027286446,0.270603162484181,0.443571036856966,0.127095648309588,0.922093729528628
hsa04370,0.200590349798256,0.344728343218776,0.360563167001105,0.70765187508462,0.18785665846578
hsa04371,0.300281211893682,0.0699834623245336,0.0263019007511315,0.0546846362999999,0.00791823067332378
hsa04380,0.972700026177692,0.000479240338676179,0.274989955332851,0.839223048462029,0.462233486732807
hsa04390,0.602834720049428,1.84214272904881e-08,0.0284711138870334,4.63821187365503e-06,4.5814478668368e-07
hsa04392,0.300281211893682,0.315329325185769,0.411521148046618,0.206468756777635,0.0028708357194123
