,gene_heritability_correlation
INPP5B,0.0140193129973684
RP11-109P14.10,0.00375513548323526
SF3A3,0.0251215138770657
FHL3,0.0216063832698098
UTP11L,-0.00765077468881969
POU3F1,0.00458913188005535
RRAGC,0.0234466837812206
RP5-864K19.4,0.00619459172686939
MYCBP,0.0188057555351009
RHBDL2,0.00374969848324958
AKIRIN1,0.0165371987346541
NDUFS5,-0.0449955855938559
MACF1,0.0260131704368188
BMP8A,0
RP11-69E11.4,-0.0880301271519553
PABPC4,0.0207780187472606
HEYL,0
PPIE,0.0188316607466775
BMP8B,0
OXCT2,0
TRIT1,0.0152838419012472
MYCL,-0.0410819848635065
MFSD2A,-0.00283352690909039
CAP1,0.0519058194484587
PPT1,0.0313095237862527
RLF,-0.025356110378828
TMCO2,0
RP1-39G22.7,0.012581052186185
ZMPSTE24,-0.0252611951204925
COL9A2,0.0037488346085514
SMAP2,0.0171778974888064
ZFP69B,0
ZFP69,0.00638263758881301
RP11-656D10.3,0.00606327744181759
EXO5,0.0133083247453334
ZNF684,-0.04858008443055
RIMS3,0.00374994904750804
NFYC-AS1,0.00638581180181785
NFYC,-0.0190419907092368
CITED4,-0.0235402926516319
CTPS1,-0.0558449540745052
SLFNL1-AS1,0.00375061766383776
SCMH1,-0.0946060812133472
FOXO6,0.00433324255114327
EDN2,0
HIVEP3,0.0147156574608818
GUCA2B,0.00468191958894564
FOXJ3,0.0205960841636486
RIMKLA,0
ZMYND12,0.010753150083437
PPCS,-0.0174827583271424
CCDC30,0.00728695395970225
PPIH,-0.023012265169666
RP5-994D16.3,0
YBX1,-0.0168492499507417
CLDN19,0
P3H1,0.0174920076618847
C1orf50,0.0232633854636463
SVBP,-0.0279047528292685
ERMAP,0.0160165933158546
RP11-342M1.3,0.0037497088516519
ZNF691,0.0151822533030024
SLC2A1,0.012697994942564
SLC2A1-AS1,0
EBNA1BP2,-0.0456140361552311
CFAP57,0
TMEM125,0.00574855564631632
C1orf210,0.00495272511069248
TIE1,-0.0156920872106966
RP1-92O14.3,0.00675145286360555
CDC20,0.0109829272915975
ELOVL1,0.00739390363684979
MED8,0.00271156389949946
SZT2,0.0173351936975718
HYI,-0.0354099147219135
HYI-AS1,0.00374989956588933
PTPRF,-0.0155693042767639
KDM4A,-0.0149006048529066
KDM4A-AS1,0.00684244285811536
ST3GAL3,0.00936224953973246
IPO13,-0.0600058945968111
DPH2,0.0129423487928141
ATP6V0B,0.0212743336257218
B4GALT2,0.0117538144846078
CCDC24,0.00777368176321355
SLC6A9,0.00375012297395795
RP5-1198O20.4,0
DMAP1,0.0222991086439986
ERI3,0.00266752689664121
RNF220,0.00175404537539596
TMEM53,-0.0724422864699139
C1orf228,0.00884922821969588
KIF2C,0.00374825204460201
RPS8,0.0396589083248298
BEST4,0
PLK3,-0.00667201726493453
TCTEX1D4,-0.153134361172999
BTBD19,0.0106958194641054
PTCH2,0.0156155026278492
EIF2B3,0.0189954966305114
HECTD3,-0.0722557289803816
UROD,-0.0827496851052482
ZSWIM5,0.00509003857976966
LINC01144,0.00633630493951675
HPDL,0
MUTYH,0.0137292969578246
TOE1,0.0133379338965231
TESK2,-0.0275313206094057
CCDC163P,0.00867350308266853
MMACHC,-0.0438917854840846
PRDX1,-0.0156668371804343
AKR1A1,0.00437599492987351
NASP,-0.0362172152127169
CCDC17,0.00398114309403131
GPBP1L1,-0.0178249857376156
TMEM69,0.022418811876937
IPP,0.00950225864945425
MAST2,0.0133735107221796
TSPAN1,0.00374973790454903
POMGNT1,-0.0201174557316811
LURAP1,0.00374899871150279
RAD54L,0.00375157505412468
LRRC41,0.025836028397218
UQCRH,-0.00787525403638264
NSUN4,0.0163698911983265
FAAH,0.018109814138757
MKNK1,0.0292451355653953
MOB3C,0.0131555310227897
ATPAF1,0.0113354055803743
EFCAB14,0.00120134971931822
CYP4B1,0
CYP4A11,-0.0452805278869717
CYP4X1,0.00699233241681751
CYP4A22,-0.0604984704170708
LINC00853,0.00374879773957134
PDZK1IP1,0.0093514819813578
TAL1,0.0142651485384891
RP1-18D14.7,0
STIL,0.00791852180082117
CMPK1,0.0106696544945026
